STT,Store Code,Store Name,Address,Region,Province,District,Latlong,,
54,158,CTO - 50B Hung Vuong,"50B Hùng Vương, Phường Thới Bình, Quận Ninh Kiều, Tp. Cần Thơ",Mekong2,Can Tho,Ninh Kieu,"10.0441312, 105.7785974",,
55,159,TGI - 124 Dinh Bo Linh,"124 Đinh Bộ Lĩnh, Phường 2, TP Mỹ Tho, Tỉnh Tiền Giang",Mekong1,Tien Giang,My Tho,"10.3550319, 106.3720469",,
56,161,HCM - 44/1D Pham Van Chieu,"44/1D Phạm Văn Chiêu Gò Vấp, HCM",HCM,Ho Chi Minh,Go Vap,"10.852028, 106.659834",,
57,163,HCM - 28-34 Nguyen Thi Thap,"28-30-32-34 Nguyễn Thị Thập, Phường Bình Thuận, Quận 7, Thành phố. Hồ Chí Minh",HCM,Ho Chi Minh,Quan 7,"10.7377594, 106.7280503",,
58,164,HCM - 165 Tran Nao,"165 Trần Não, Khu Phố 3, Phường An Khánh, Thành phố Thủ Đức, Thành phố Hồ Chí Minh",HCM,Ho Chi Minh,Thu Duc,"10.7905106, 106.730582",,
59,169,HCM - 178 Do Xuan Hop,"178 Đỗ Xuân Hợp, Phước Long A, Thành phố Thủ Đức, Thành phố Hồ Chí Minh",HCM,Ho Chi Minh,Thu Duc,"10.8283616, 106.7672239",,
60,170,ĐTH - 281-283 Nguyen Sinh Sac,"281-283 đường Nguyễn Sinh Sắc, P2. Thành phố Sa Đéc, Tỉnh Đồng Tháp",Mekong2,Dong Thap,Sa Dec,"10.2901837, 105.7641108",,
61,172,LAN - Tan An,"70 Hùng Vương , P.2, TP. Tân An, Long An",Mekong1,Long An,Tan An,"10.539334, 106.4043456",,
62,173,HCM - 130 Pham Huu Lau,"130 Đường Phạm Hữu Lầu, P. Phú Mỹ, Quận 7, TP. HCM",HCM,Ho Chi Minh,Quan 7,"10.7046835, 106.7321232",,
63,174,HCM - Sai Gon Pearl,"Sai Gòn Pearl, 92 Nguyễn Hữu Cảnh, P.22, Q. Bình Thạnh",HCM,Ho Chi Minh,Binh Thanh,"10.7909873, 106.7184276",,
64,178,KTU - 691 Phan Dinh Phung,"691 Phan Đình Phùng, P. Duy Tân, Tx Kon Tum",Highland3,Kon Tum,KonTum,"14.3686753, 108.0024734",,
65,179,HCM - 43A Nguyen Anh Thu,"43A Nguyễn Ảnh Thủ, Khu phố 2, Phường Hiệp Thành Quận 12, HCM",HCM,Ho Chi Minh,Quan 12,"10.877188, 106.6425401",,
66,180,HCM - 129-131 Le Trong Tan,"129 - 131 Lê Trọng Tấn, P.Sơn Kỳ, Q.Tân Phú, HCM",HCM,Ho Chi Minh,Tan Phu,"10.8058441, 106.6280712",,
67,181,HCM - 191 Hoang Van Thu,"191 Hoàng Văn Thụ, P.8, Q. Phú Nhuận, HCM",HCM,Ho Chi Minh,Phu Nhuan,"10.7995808, 106.6734708",,
68,182,NTH - 450A Thong Nhat,"450A Thống Nhất, P. Kinh Dinh, Tp. Phan Rang - Tháp Chàm, Tỉnh Ninh Thuận",Central1,Ninh Thuan,Thap Cham,"11.5649094, 108.9905137",,
69,183,BLI - 313-315 Tran Phu,"313 - 315 Đường Trần Phú, P.7, Tp. Bạc Liêu, Bạc Liêu",Mekong2,Bac Lieu,Bac Lieu,"9.29562, 105.7213605",,
70,184,LDO - 287 Phan Dinh Phung,"287 Phan Đình Phùng, phường 12, Tp. Đà Lạt, Lâm Đồng",Highland1,Lam Dong,Da Lat,"11.9479251, 108.4360519",,
71,186,DON- 07 Le Loi,"07 Lê Lợi, Phường Xuân An, Thành phố Long Khánh, Tỉnh Đồng Nai",SouthEast2,Dong Nai,Long Khanh,"10.9321238, 107.2441329",,
72,187,HCM - 788 Au Co,"788 Âu Cơ, phường 14, quận Tân Bình, Tp.HCM",HCM,Ho Chi Minh,Tan Binh,"10.790216, 106.6402893",,
73,190,BTR - 72B Dong Khoi,"72B Đại Lộ Đồng Khởi, Phú Tân, TP. Bến Tre, Bến Tre",Mekong1,Ben Tre,Ben Tre,"10.2502646, 106.3728312",,
74,191,DON - 129 Phung Hung,"Cửa hàng 129 Phùng Hưng, khu 4, ấp 8, huyện Long Thành, Đồng Nai",SouthEast2,Dong Nai,Long Thanh,"10.8490257, 106.9712377",,
75,192,HCM - 391 Ly Thai To,"391 Lý Thái Tổ, phường 9, Quận 10",HCM,Ho Chi Minh,Quan 10,"10.767697, 106.6696248",,
76,194,BDU - 426 Duong 30 thang 4,"426 đường 30 tháng 4, khu phố 2, phường Mỹ Phước, Thị xã Bến Cát, Tỉnh Bình Dương",SouthEast2,Binh Duong,Ben Cat,"11.1530548, 106.590722",,
77,195,BVT - 85 Nguyen Thanh Dang,"85 Nguyễn Thanh Đằng, P Phước Hiệp, Tp Bà Rịa, tỉnh Bà Rịa - Vũng Tàu",SouthEast2,Ba Ria - Vung Tau,Ba Ria,"10.4994995, 107.1727092",,
78,197,QBI - 32 Quang Trung,"32 Quang Trung, phường Hải Đình, Tp. Đồng Hới, tỉnh Quảng Bình",Central3,Quang Binh,Dong Hoi,"17.4638498, 106.623823",,
79,198,QBI - 309 Tran Hung Dao,"309 Trần Hưng Đạo, Đồng Hới, tỉnh Quảng Bình",Central3,Quang Binh,Dong Hoi,"17.4671047, 106.6047955",,
80,199,QNA - 63-65 Phan Chu Trinh,"63-65 Phan Chu Trinh, thị xã Tam Kỳ, tỉnh Quảng Nam",Central2,Quang Nam,Tam Ky,"15.571498, 108.4855192",,
81,200,HCM - 149 Phan Van Hon,"149 Phan Văn Hớn, ấp 7, Xã Xuân Thới Thượng, Huyện Hóc Môn, TP HCM",HCM,Ho Chi Minh,Hoc Mon,"10.8478861, 106.5901138",,
82,201,VPH - 147 Hai Ba Trung,"Số Nhà 147 Đường Hai Bà Trưng, Phường Hùng Vương, Thành phố Phúc Yên, Tỉnh Vĩnh Phúc, Việt Nam",North,Vinh Phuc,Phuc Yen,"21.2310693, 105.7073606",,
83,202,KGI - 127 Nguyen Van Cu,"127 Nguyễn Văn Cừ, Khu Phố 8, thị trấn An Thới, Phú Quốc, Kiên Giang",Mekong2,Kien Giang,Phu Quoc,"10.0211065, 104.0173358",,
84,203,HUE - 1 Ba Trieu,"01 Bà Triệu, Phường Xuân Phú, TP. Huế, Tỉnh Thừa Thiên Huế",Central3,Hue,Hue,"16.4700366, 107.5993135",,
85,204,BVT - 559-563 Rach Dua,"559-561-563 đường 30/4, P. Rạch Dừa, Tp. Vũng Tàu, tỉnh Bà Rịa - Vũng Tàu",SouthEast2,Ba Ria - Vung Tau,Vung Tau,"10.3989802, 107.1141492",,
86,205,LDO - 827-829 Hung Vuong,"827 - 829 Hùng Vương, thị trấn Di Linh, Lâm Đồng.",Highland1,Lam Dong,Di Linh,"11.5931315, 108.0786205",,
87,207,HCM - 333-335 Duong So 7,"333 - 335 , đường số 7 , phường Bình Trị Đông B, quận Bình Tân, thành phố Hồ Chí Minh",HCM,Ho Chi Minh,Binh Tan,"10.7516031, 106.6111493",,
88,208,DON - G1 Dong Khoi,"G1, đường Đồng Khởi, phường Tân Hiệp, thành phố Biên Hòa, tỉnh Đồng Nai.",SouthEast2,Dong Nai,Bien Hoa,"10.956768, 106.8611827",,
